player,player_opponent,win_prob_mean
Carlos Alcaraz,Daniil Medvedev,0.098927364
Carlos Alcaraz,Jannik Sinner,0.347559333
Carlos Alcaraz,Andrey Rublev,0.559879959
Carlos Alcaraz,Casper Ruud,0.625481114
Carlos Alcaraz,Stefanos Tsitsipas,0.670849904
Carlos Alcaraz,Alexander Zverev,0.71387665
Carlos Alcaraz,Felix Auger Aliassime,0.738385916
Carlos Alcaraz,Andy Murray,0.749591559
Carlos Alcaraz,Grigor Dimitrov,0.753887624
Carlos Alcaraz,Alex De Minaur,0.7602534
Carlos Alcaraz,Karen Khachanov,0.783876687
Carlos Alcaraz,Tommy Paul,0.791012347
Carlos Alcaraz,Alejandro Davidovich Fokina,0.807154804
Carlos Alcaraz,Diego Schwartzman,0.807232484
Carlos Alcaraz,Cameron Norrie,0.813561827
Carlos Alcaraz,Daniel Evans,0.81802392
Carlos Alcaraz,Lorenzo Musetti,0.818374291
Carlos Alcaraz,Holger Rune,0.820944563
Carlos Alcaraz,Yoshihito Nishioka,0.830783203
Carlos Alcaraz,Lorenzo Sonego,0.835441753
Carlos Alcaraz,Jan Lennard Struff,0.841562495
Carlos Alcaraz,Nicolas Jarry,0.842774138
Carlos Alcaraz,Mackenzie Mcdonald,0.850368589
Carlos Alcaraz,J J Wolf,0.850518346
Carlos Alcaraz,Ugo Humbert,0.855111063
Carlos Alcaraz,Lloyd Harris,0.855257109
Carlos Alcaraz,Tomas Martin Etcheverry,0.85702616
Carlos Alcaraz,Yannick Hanfmann,0.857927158
Carlos Alcaraz,Matteo Arnaldi,0.858182058
Carlos Alcaraz,Juncheng Sheng,0.862281576
Carlos Alcaraz,Yi Zhou,0.862281576
Yannick Hanfmann,Carlos Alcaraz,0.142072842
Yannick Hanfmann,Karen Khachanov,0.320444226
Yannick Hanfmann,Lorenzo Musetti,0.421054795
Yannick Hanfmann,Lloyd Harris,0.481658384
Yannick Hanfmann,Tomas Martin Etcheverry,0.481441081
Yannick Hanfmann,Jan Lennard Struff,0.440664634
Yannick Hanfmann,Casper Ruud,0.201106817
Yannick Hanfmann,Holger Rune,0.361525923
Yannick Hanfmann,Felix Auger Aliassime,0.331448466
Yannick Hanfmann,Mackenzie Mcdonald,0.47215116
Yannick Hanfmann,Grigor Dimitrov,0.300435409
Yannick Hanfmann,Juncheng Sheng,0.501956776
Yannick Hanfmann,Yoshihito Nishioka,0.424201638
Yannick Hanfmann,Daniel Evans,0.364198178
Yannick Hanfmann,Jannik Sinner,0.098905742
Yannick Hanfmann,Alexander Zverev,0.269953668
Yannick Hanfmann,Diego Schwartzman,0.393835902
Yannick Hanfmann,Alejandro Davidovich Fokina,0.384797469
Yannick Hanfmann,Yi Zhou,0.501956776
Yannick Hanfmann,Matteo Arnaldi,0.500519603
Yannick Hanfmann,J J Wolf,0.465977848
Yannick Hanfmann,Nicolas Jarry,0.420654476
Yannick Hanfmann,Stefanos Tsitsipas,0.294194847
Yannick Hanfmann,Andrey Rublev,0.206736654
Yannick Hanfmann,Cameron Norrie,0.385651201
Yannick Hanfmann,Ugo Humbert,0.480795696
Yannick Hanfmann,Lorenzo Sonego,0.453598052
Yannick Hanfmann,Alex De Minaur,0.322069854
Yannick Hanfmann,Andy Murray,0.287446588
Yannick Hanfmann,Tommy Paul,0.356409967
Yannick Hanfmann,Daniil Medvedev,0.03096731
Karen Khachanov,Carlos Alcaraz,0.216123313
Karen Khachanov,Yannick Hanfmann,0.679555774
Karen Khachanov,Lorenzo Musetti,0.604918987
Karen Khachanov,Lloyd Harris,0.668389857
Karen Khachanov,Tomas Martin Etcheverry,0.670010537
Karen Khachanov,Jan Lennard Struff,0.632454604
Karen Khachanov,Casper Ruud,0.309622377
Karen Khachanov,Holger Rune,0.564184904
Karen Khachanov,Felix Auger Aliassime,0.480054975
Karen Khachanov,Mackenzie Mcdonald,0.660013765
Karen Khachanov,Grigor Dimitrov,0.461780578
Karen Khachanov,Juncheng Sheng,0.684976578
Karen Khachanov,Yoshihito Nishioka,0.617457226
Karen Khachanov,Daniel Evans,0.565548003
Karen Khachanov,Jannik Sinner,0.154144377
Karen Khachanov,Alexander Zverev,0.409437552
Karen Khachanov,Diego Schwartzman,0.580162704
Karen Khachanov,Alejandro Davidovich Fokina,0.571370721
Karen Khachanov,Yi Zhou,0.684976578
Karen Khachanov,Matteo Arnaldi,0.679196313
Karen Khachanov,J J Wolf,0.656679675
Karen Khachanov,Nicolas Jarry,0.620831668
Karen Khachanov,Stefanos Tsitsipas,0.413417101
Karen Khachanov,Andrey Rublev,0.307984233
Karen Khachanov,Cameron Norrie,0.579155803
Karen Khachanov,Ugo Humbert,0.667887419
Karen Khachanov,Lorenzo Sonego,0.638746187
Karen Khachanov,Alex De Minaur,0.484303266
