index,player,surface
1,_Carlos Alcaraz,hard
2,_Yannick Hanfmann,hard
3,_Karen Khachanov,hard
4,_Lorenzo Musetti,hard
5,_Lloyd Harris,hard
6,_Tomas Martin Etcheverry,hard
7,_Jan Lennard Struff,hard
8,_Casper Ruud,hard
9,_Holger Rune,hard
10,_Felix Auger Aliassime,hard
11,_Mackenzie Mcdonald,hard
12,_Grigor Dimitrov,hard
13,Juncheng Sheng,hard
14,_Yoshihito Nishioka,hard
15,_Daniel Evans,hard
16,_Jannik Sinner,hard
17,_Alexander Zverev,hard
18,_Diego Schwartzman,hard
19,_Alejandro Davidovich Fokina,hard
20,Yi Zhou,hard
21,_Matteo Arnaldi,hard
22,_J J Wolf,hard
23,_Nicolas Jarry,hard
24,_Stefanos Tsitsipas,hard
25,_Andrey Rublev,hard
26,_Cameron Norrie,hard
27,_Ugo Humbert,hard
28,_Lorenzo Sonego,hard
29,_Alex De Minaur,hard
30,_Andy Murray,hard
31,_Tommy Paul,hard
32,_Daniil Medvedev,hard
