player,player_opponent,win_prob_mean
Novak Djokovic,BYE,1.0
Novak Djokovic,Miomir Kecmanovic,0.7990695387125015
Novak Djokovic,Tomas Martin Etcheverry,0.9550993889570236
Novak Djokovic,Tallon Griekspoor,0.9125432670116425
Novak Djokovic,Christopher Eubanks,0.9401528537273407
Novak Djokovic,Alejandro Davidovich Fokina,0.8054486364126205
Novak Djokovic,Ben Shelton,0.9352999031543732
Novak Djokovic,Taylor Fritz,0.54165880382061
Novak Djokovic,Sebastian Baez,0.9227897077798843
Novak Djokovic,Daniel Altmaier,0.9509514719247818
Novak Djokovic,Arthur Fils,0.9592364132404327
Novak Djokovic,Stan Wawrinka,0.8709095865488052
Novak Djokovic,Dominic Thiem,0.8530948460102081
Novak Djokovic,Holger Rune,0.8810153156518936
Novak Djokovic,Jannik Sinner,0.5337272882461548
Novak Djokovic,J J Wolf,0.904768630862236
Novak Djokovic,Mackenzie Mcdonald,0.8538790941238403
Novak Djokovic,Dusan Lajovic,0.9027342349290848
Novak Djokovic,Benjamin Bonzi,0.9127184152603149
Novak Djokovic,Andy Murray,0.8645954430103302
Novak Djokovic,Alex De Minaur,0.6520898640155792
Novak Djokovic,Tommy Paul,0.6418488621711731
Novak Djokovic,Richard Gasquet,0.8694916814565659
Novak Djokovic,Botic Van De Zandschulp,0.8450342118740082
Novak Djokovic,Adrian Mannarino,0.8557166159152985
Novak Djokovic,Jordan Thompson,0.8646815568208694
Novak Djokovic,Yoshihito Nishioka,0.8830606043338776
Novak Djokovic,Andrey Rublev,0.4721851348876953
Novak Djokovic,Casper Ruud,0.5867412090301514
Novak Djokovic,Gael Monfils,0.8042645752429962
Novak Djokovic,Francisco Cerundolo,0.9289374351501465
Novak Djokovic,Jiri Lehecka,0.9289238899946213
Novak Djokovic,Roberto Bautista Agut,0.663215234875679
Novak Djokovic,Sebastian Korda,0.7306859344244003
Novak Djokovic,Hubert Hurkacz,0.6027799546718597
Novak Djokovic,Frances Tiafoe,0.7064409255981445
Novak Djokovic,Alexander Bublik,0.8281385004520416
Novak Djokovic,Nicolas Jarry,0.9462462216615677
Novak Djokovic,Alexei Popyrin,0.9072577953338623
Novak Djokovic,Grigor Dimitrov,0.7422522306442261
Novak Djokovic,Lorenzo Musetti,0.8467038869857788
Novak Djokovic,Daniil Medvedev,0.4837648868560791
Novak Djokovic,Stefanos Tsitsipas,0.5358597934246063
Novak Djokovic,Felix Auger Aliassime,0.6006759852170944
Novak Djokovic,Jan Lennard Struff,0.8974735885858536
Novak Djokovic,Ugo Humbert,0.7917219400405884
Novak Djokovic,Marcos Giron,0.8802376836538315
Novak Djokovic,Marton Fucsovics,0.8431288301944733
Novak Djokovic,Alexander Zverev,0.5378663688898087
Novak Djokovic,Karen Khachanov,0.6347875446081161
Novak Djokovic,Max Purcell,0.940171480178833
Novak Djokovic,Laslo Djere,0.8610280156135559
Novak Djokovic,Luca Van Assche,0.9643376022577286
Novak Djokovic,Alexandre Muller,0.9640675187110901
Novak Djokovic,Roman Safiullin,0.9458765536546707
Novak Djokovic,Carlos Alcaraz,0.6074000298976898
BYE,Novak Djokovic,0.0
BYE,Miomir Kecmanovic,0.0
BYE,Tomas Martin Etcheverry,0.0
BYE,Tallon Griekspoor,0.0
BYE,Christopher Eubanks,0.0
BYE,Alejandro Davidovich Fokina,0.0
BYE,Ben Shelton,0.0
BYE,Taylor Fritz,0.0
BYE,Sebastian Baez,0.0
BYE,Daniel Altmaier,0.0
BYE,Arthur Fils,0.0
BYE,Stan Wawrinka,0.0
BYE,Dominic Thiem,0.0
BYE,Holger Rune,0.0
BYE,Jannik Sinner,0.0
BYE,J J Wolf,0.0
BYE,Mackenzie Mcdonald,0.0
BYE,Dusan Lajovic,0.0
BYE,Benjamin Bonzi,0.0
BYE,Andy Murray,0.0
BYE,Alex De Minaur,0.0
BYE,Tommy Paul,0.0
BYE,Richard Gasquet,0.0
BYE,Botic Van De Zandschulp,0.0
BYE,Adrian Mannarino,0.0
BYE,Jordan Thompson,0.0
BYE,Yoshihito Nishioka,0.0
BYE,Andrey Rublev,0.0
BYE,Casper Ruud,0.0
BYE,Gael Monfils,0.0
BYE,Francisco Cerundolo,0.0
BYE,Jiri Lehecka,0.0
BYE,Roberto Bautista Agut,0.0
BYE,Sebastian Korda,0.0
BYE,Hubert Hurkacz,0.0
BYE,Frances Tiafoe,0.0
BYE,Alexander Bublik,0.0
BYE,Nicolas Jarry,0.0
BYE,Alexei Popyrin,0.0
BYE,Grigor Dimitrov,0.0
BYE,Lorenzo Musetti,0.0
BYE,Daniil Medvedev,0.0
BYE,Stefanos Tsitsipas,0.0
BYE,Felix Auger Aliassime,0.0
BYE,Jan Lennard Struff,0.0
BYE,Ugo Humbert,0.0
BYE,Marcos Giron,0.0
BYE,Marton Fucsovics,0.0
BYE,Alexander Zverev,0.0
BYE,Karen Khachanov,0.0
BYE,Max Purcell,0.0
BYE,Laslo Djere,0.0
BYE,Luca Van Assche,0.0
BYE,Alexandre Muller,0.0
BYE,Roman Safiullin,0.0
BYE,Carlos Alcaraz,0.0
Miomir Kecmanovic,Novak Djokovic,0.20093046128749847
Miomir Kecmanovic,BYE,1.0
Miomir Kecmanovic,Tomas Martin Etcheverry,0.6953511834144592
Miomir Kecmanovic,Tallon Griekspoor,0.5596625208854675
Miomir Kecmanovic,Christopher Eubanks,0.6209697127342224
Miomir Kecmanovic,Alejandro Davidovich Fokina,0.48270875215530396
Miomir Kecmanovic,Ben Shelton,0.5831700414419174
Miomir Kecmanovic,Taylor Fritz,0.2746429443359375
Miomir Kecmanovic,Sebastian Baez,0.5532800704240799
Miomir Kecmanovic,Daniel Altmaier,0.6727683246135712
Miomir Kecmanovic,Arthur Fils,0.712468147277832
Miomir Kecmanovic,Stan Wawrinka,0.4734308123588562
Miomir Kecmanovic,Dominic Thiem,0.4673392176628113
Miomir Kecmanovic,Holger Rune,0.5099682509899139
Miomir Kecmanovic,Jannik Sinner,0.2608002573251724
Miomir Kecmanovic,J J Wolf,0.5404743850231171
Miomir Kecmanovic,Mackenzie Mcdonald,0.5225077420473099
Miomir Kecmanovic,Dusan Lajovic,0.5537492781877518
Miomir Kecmanovic,Benjamin Bonzi,0.5452984124422073
Miomir Kecmanovic,Andy Murray,0.4954023063182831
Miomir Kecmanovic,Alex De Minaur,0.42735467851161957
Miomir Kecmanovic,Tommy Paul,0.4234590083360672
Miomir Kecmanovic,Richard Gasquet,0.5068549066781998
Miomir Kecmanovic,Botic Van De Zandschulp,0.4899722635746002
Miomir Kecmanovic,Adrian Mannarino,0.5323040783405304
Miomir Kecmanovic,Jordan Thompson,0.49845360219478607
Miomir Kecmanovic,Yoshihito Nishioka,0.5354689508676529
Miomir Kecmanovic,Andrey Rublev,0.1581455022096634
Miomir Kecmanovic,Casper Ruud,0.374851331114769
Miomir Kecmanovic,Gael Monfils,0.4639819711446762
Miomir Kecmanovic,Francisco Cerundolo,0.5845681130886078
Miomir Kecmanovic,Jiri Lehecka,0.5750972032546997
Miomir Kecmanovic,Roberto Bautista Agut,0.43757668137550354
Miomir Kecmanovic,Sebastian Korda,0.433387890458107
Miomir Kecmanovic,Hubert Hurkacz,0.3922739028930664
Miomir Kecmanovic,Frances Tiafoe,0.44942671060562134
Miomir Kecmanovic,Alexander Bublik,0.523336336016655
Miomir Kecmanovic,Nicolas Jarry,0.6343889683485031
Miomir Kecmanovic,Alexei Popyrin,0.5492443442344666
Miomir Kecmanovic,Grigor Dimitrov,0.45891253650188446
Miomir Kecmanovic,Lorenzo Musetti,0.49962496757507324
Miomir Kecmanovic,Daniil Medvedev,0.1665264070034027
Miomir Kecmanovic,Stefanos Tsitsipas,0.2685825377702713
Miomir Kecmanovic,Felix Auger Aliassime,0.3946684002876282
Miomir Kecmanovic,Jan Lennard Struff,0.5422194302082062
Miomir Kecmanovic,Ugo Humbert,0.47132647037506104
Miomir Kecmanovic,Marcos Giron,0.5412817895412445
Miomir Kecmanovic,Marton Fucsovics,0.5047742873430252
Miomir Kecmanovic,Alexander Zverev,0.2683696448802948
Miomir Kecmanovic,Karen Khachanov,0.41507238149642944
Miomir Kecmanovic,Max Purcell,0.6052581071853638
Miomir Kecmanovic,Laslo Djere,0.49699021875858307
Miomir Kecmanovic,Luca Van Assche,0.7415441870689392
Miomir Kecmanovic,Alexandre Muller,0.7425459921360016
Miomir Kecmanovic,Roman Safiullin,0.6438406407833099
Miomir Kecmanovic,Carlos Alcaraz,0.37539663910865784
Tomas Martin Etcheverry,Novak Djokovic,0.04490061104297638
Tomas Martin Etcheverry,BYE,1.0
Tomas Martin Etcheverry,Miomir Kecmanovic,0.30464881658554077
Tomas Martin Etcheverry,Tallon Griekspoor,0.37705808877944946
Tomas Martin Etcheverry,Christopher Eubanks,0.37851907312870026
Tomas Martin Etcheverry,Alejandro Davidovich Fokina,0.2787388414144516
Tomas Martin Etcheverry,Ben Shelton,0.30944477021694183
Tomas Martin Etcheverry,Taylor Fritz,0.06638363003730774
Tomas Martin Etcheverry,Sebastian Baez,0.3272981345653534
Tomas Martin Etcheverry,Daniel Altmaier,0.4723312705755234
Tomas Martin Etcheverry,Arthur Fils,0.4915591776371002
Tomas Martin Etcheverry,Stan Wawrinka,0.24056272208690643
Tomas Martin Etcheverry,Dominic Thiem,0.23933109641075134
Tomas Martin Etcheverry,Holger Rune,0.3248726427555084
Tomas Martin Etcheverry,Jannik Sinner,0.06206212937831879
Tomas Martin Etcheverry,J J Wolf,0.34393760561943054
Tomas Martin Etcheverry,Mackenzie Mcdonald,0.36326631903648376
Tomas Martin Etcheverry,Dusan Lajovic,0.39498470723629
Tomas Martin Etcheverry,Benjamin Bonzi,0.33656591176986694
Tomas Martin Etcheverry,Andy Murray,0.2855660319328308
Tomas Martin Etcheverry,Alex De Minaur,0.1737642139196396
Tomas Martin Etcheverry,Tommy Paul,0.1651456654071808
Tomas Martin Etcheverry,Richard Gasquet,0.32070887088775635
Tomas Martin Etcheverry,Botic Van De Zandschulp,0.2826802730560303
Tomas Martin Etcheverry,Adrian Mannarino,0.40060892701148987
Tomas Martin Etcheverry,Jordan Thompson,0.29838404059410095
Tomas Martin Etcheverry,Yoshihito Nishioka,0.37591105699539185
Tomas Martin Etcheverry,Andrey Rublev,0.03208276629447937
Tomas Martin Etcheverry,Casper Ruud,0.12238693237304688
Tomas Martin Etcheverry,Gael Monfils,0.2165713608264923
Tomas Martin Etcheverry,Francisco Cerundolo,0.38217663764953613
Tomas Martin Etcheverry,Jiri Lehecka,0.3473631888628006
Tomas Martin Etcheverry,Roberto Bautista Agut,0.1751783937215805
Tomas Martin Etcheverry,Sebastian Korda,0.17967474460601807
Tomas Martin Etcheverry,Hubert Hurkacz,0.1295219212770462
Tomas Martin Etcheverry,Frances Tiafoe,0.2169458568096161
Tomas Martin Etcheverry,Alexander Bublik,0.38501594960689545
Tomas Martin Etcheverry,Nicolas Jarry,0.3737841844558716
Tomas Martin Etcheverry,Alexei Popyrin,0.3565311133861542
Tomas Martin Etcheverry,Grigor Dimitrov,0.2166900634765625
Tomas Martin Etcheverry,Lorenzo Musetti,0.31457462906837463
Tomas Martin Etcheverry,Daniil Medvedev,0.03414829075336456
Tomas Martin Etcheverry,Stefanos Tsitsipas,0.064255490899086
Tomas Martin Etcheverry,Felix Auger Aliassime,0.129621222615242
Tomas Martin Etcheverry,Jan Lennard Struff,0.3667403310537338
Tomas Martin Etcheverry,Ugo Humbert,0.2374451607465744
Tomas Martin Etcheverry,Marcos Giron,0.40372976660728455
Tomas Martin Etcheverry,Marton Fucsovics,0.31504592299461365
Tomas Martin Etcheverry,Alexander Zverev,0.06532084941864014
Tomas Martin Etcheverry,Karen Khachanov,0.15472042560577393
Tomas Martin Etcheverry,Max Purcell,0.33292318880558014
Tomas Martin Etcheverry,Laslo Djere,0.308532252907753
Tomas Martin Etcheverry,Luca Van Assche,0.5432237982749939
Tomas Martin Etcheverry,Alexandre Muller,0.5619491934776306
