index,player,surface
1,Novak Djokovic,hard
2,BYE,hard
3,Miomir Kecmanovic,hard
4,Tomas Martin Etcheverry,hard
5,Tallon Griekspoor,hard
6,Christopher Eubanks,hard
7,Alejandro Davidovich Fokina,hard
8,Ben Shelton,hard
9,Taylor Fritz,hard
10,Sebastian Baez,hard
11,Daniel Altmaier,hard
12,Arthur Fils,hard
13,Stan Wawrinka,hard
14,Dominic Thiem,hard
15,BYE,hard
16,Holger Rune,hard
17,Jannik Sinner,hard
18,BYE,hard
19,J J Wolf,hard
20,Mackenzie Mcdonald,hard
21,Dusan Lajovic,hard
22,Benjamin Bonzi,hard
23,Andy Murray,hard
24,Alex De Minaur,hard
25,Tommy Paul,hard
26,Richard Gasquet,hard
27,Botic Van De Zandschulp,hard
28,Adrian Mannarino,hard
29,Jordan Thompson,hard
30,Yoshihito Nishioka,hard
31,BYE,hard
32,Andrey Rublev,hard
33,Casper Ruud,hard
34,BYE,hard
35,Gael Monfils,hard
36,Francisco Cerundolo,hard
37,Jiri Lehecka,hard
38,Roberto Bautista Agut,hard
39,Sebastian Korda,hard
40,Hubert Hurkacz,hard
41,Frances Tiafoe,hard
42,Alexander Bublik,hard
43,Nicolas Jarry,hard
44,Alexei Popyrin,hard
45,Grigor Dimitrov,hard
46,Lorenzo Musetti,hard
47,BYE,hard
48,Daniil Medvedev,hard
49,Stefanos Tsitsipas,hard
50,BYE,hard
51,Felix Auger Aliassime,hard
52,Jan Lennard Struff,hard
53,Ugo Humbert,hard
54,Marcos Giron,hard
55,Marton Fucsovics,hard
56,Alexander Zverev,hard
57,Karen Khachanov,hard
58,Max Purcell,hard
59,Laslo Djere,hard
60,Luca Van Assche,hard
61,Alexandre Muller,hard
62,Roman Safiullin,hard
63,BYE,hard
64,Carlos Alcaraz,hard
