player,player_opponent,win_prob_mean
Carlos Alcaraz,BYE,1.0
Carlos Alcaraz,Nuno Borges,0.5928033739328384
Carlos Alcaraz,Gregoire Barrere,0.5577519237995148
Carlos Alcaraz,Mikhail Kukushkin,0.5439218580722809
Carlos Alcaraz,Alexandre Muller,0.5799489319324493
Carlos Alcaraz,Daniel Evans,0.5544372648000717
Carlos Alcaraz,Grigor Dimitrov,0.5224775820970535
Carlos Alcaraz,Aleksandar Vukic,0.5418917536735535
Carlos Alcaraz,Roberto Carballes Baena,0.5723634213209152
Carlos Alcaraz,Beibit Zhukayev,0.5610911995172501
Carlos Alcaraz,Stefano Napolitano,0.5606461763381958
Carlos Alcaraz,Karen Khachanov,0.4925262928009033
Carlos Alcaraz,Frances Tiafoe,0.5287173688411713
Carlos Alcaraz,Philip Sekulic,0.5610911995172501
Carlos Alcaraz,Lorenzo Sonego,0.54275743663311
Carlos Alcaraz,Jordan Thompson,0.5378580987453461
Carlos Alcaraz,Terence Atmane,0.5610911995172501
Carlos Alcaraz,Nicolas Jarry,0.5884794592857361
Carlos Alcaraz,Jiri Lehecka,0.520156979560852
Carlos Alcaraz,Diego Schwartzman,0.5447453409433365
Carlos Alcaraz,Luca Van Assche,0.5514751225709915
Carlos Alcaraz,Yosuke Watanuki,0.5710381120443344
Carlos Alcaraz,Juncheng Shang,0.5610911995172501
Carlos Alcaraz,Taylor Fritz,0.5072320699691772
Carlos Alcaraz,Stefanos Tsitsipas,0.44801315665245056
Carlos Alcaraz,Rinky Hijikata,0.5604488849639893
Carlos Alcaraz,Laslo Djere,0.5434450209140778
Carlos Alcaraz,Botic Van De Zandschulp,0.5358733981847763
Carlos Alcaraz,Christopher Oconnell,0.5514360219240189
Carlos Alcaraz,Ugo Humbert,0.5225276499986649
Carlos Alcaraz,Jan Lennard Struff,0.5860316604375839
Carlos Alcaraz,Alexei Popyrin,0.5354340076446533
Carlos Alcaraz,Matteo Arnaldi,0.5688430517911911
Carlos Alcaraz,J J Wolf,0.5539946407079697
Carlos Alcaraz,Pedro Cachin,0.5596756786108017
Carlos Alcaraz,Cameron Norrie,0.5560782849788666
Carlos Alcaraz,Tommy Paul,0.5214415937662125
Carlos Alcaraz,Juan Pablo Varillas,0.564944863319397
Carlos Alcaraz,Sebastian Ofner,0.5798399597406387
Carlos Alcaraz,Pavel Kotov,0.5771481543779373
Carlos Alcaraz,Arthur Fils,0.5504669845104218
Carlos Alcaraz,Alejandro Davidovich Fokina,0.5358345359563828
