index,player,surface
1,Daniil Medvedev,hard
2,Arthur Fils,hard
3,Grigor Dimitrov,hard
4,Lorenzo Musetti,hard
5,J J Wolf,hard
6,Jiri Lehecka,hard
7,Roman Safiullin,hard
8,Karen Khachanov,hard
9,Stefanos Tsitsipas,hard
10,Dominic Thiem,hard
11,Aleksandar Vukic,hard
12,Tomas Machac,hard
13,Aslan Karatsev,hard
14,Borna Gojo,hard
15,Alexandre Muller,hard
16,Tommy Paul,hard
17,Alexander Zverev,hard
18,Sebastian Ofner,hard
19,Cameron Norrie,hard
20,Filip Misolic,hard
21,Albert Ramos,hard
22,Matteo Arnaldi,hard
23,Alexei Popyrin,hard
24,Andrey Rublev,hard
25,Frances Tiafoe,hard
26,Daniel Evans,hard
27,Gael Monfils,hard
28,Daniel Altmaier,hard
29,Lorenzo Sonego,hard
30,Francisco Cerundolo,hard
31,Ben Shelton,hard
32,Jannik Sinner,hard
