player,player_opponent,win_prob_mean
Alexander Bublik,BYE,1.0
Alexander Bublik,Thiago Seyboth Wild,0.6296223253011703
Alexander Bublik,Fabio Fognini,0.5157648772001266
Alexander Bublik,Abedallah Shelbayh,0.6858879774808884
Alexander Bublik,Hugo Gaston,0.5473837405443192
Alexander Bublik,Marcos Giron,0.501528337597847
Alexander Bublik,Lorenzo Sonego,0.5020198971033096
Alexander Bublik,Ugo Humbert,0.45447899401187897
Alexander Bublik,Matteo Martineau,0.5748189389705658
Alexander Bublik,Dominic Thiem,0.44894641637802124
Alexander Bublik,Harold Mayo,0.5748189389705658
Alexander Bublik,Yosuke Watanuki,0.6562916934490204
Alexander Bublik,Gregoire Barrere,0.5440762937068939
Alexander Bublik,Yannick Hanfmann,0.5645023733377457
Alexander Bublik,Daniel Altmaier,0.5526880025863647
Alexander Bublik,Mate Valkusz,0.5748189389705658
Alexander Bublik,Alexander Shevchenko,0.6361728310585022
Alexander Bublik,Mathias Bourgue,0.6552435159683228
Alexander Bublik,Constant Lestienne,0.5841886550188065
Alexander Bublik,Calvin Hemery,0.5748189389705658
Alexander Bublik,Karen Khachanov,0.3827627897262573
Alexander Bublik,Stan Wawrinka,0.4502788782119751
Alexander Bublik,Bernabe Zapata Miralles,0.6037493944168091
Alexander Bublik,Luca Van Assche,0.6787347793579102
Alexander Bublik,Botic Van De Zandschulp,0.47166551649570465
Alexander Bublik,Pierre Hugues Herbert,0.49357762932777405
Alexander Bublik,Arthur Cazaux,0.68848717212677
Alexander Bublik,Alex De Minaur,0.40206195414066315
BYE,Alexander Bublik,0.0
BYE,Thiago Seyboth Wild,0.0
BYE,Fabio Fognini,0.0
BYE,Abedallah Shelbayh,0.0
BYE,Hugo Gaston,0.0
BYE,Marcos Giron,0.0
BYE,Lorenzo Sonego,0.0
BYE,Ugo Humbert,0.0
BYE,Matteo Martineau,0.0
BYE,Dominic Thiem,0.0
BYE,Harold Mayo,0.0
BYE,Yosuke Watanuki,0.0
BYE,Gregoire Barrere,0.0
BYE,Yannick Hanfmann,0.0
BYE,Daniel Altmaier,0.0
BYE,Mate Valkusz,0.0
BYE,Alexander Shevchenko,0.0
BYE,Mathias Bourgue,0.0
BYE,Constant Lestienne,0.0
BYE,Calvin Hemery,0.0
BYE,Karen Khachanov,0.0
BYE,Stan Wawrinka,0.0
BYE,Bernabe Zapata Miralles,0.0
BYE,Luca Van Assche,0.0
BYE,Botic Van De Zandschulp,0.0
BYE,Pierre Hugues Herbert,0.0
BYE,Arthur Cazaux,0.0
BYE,Alex De Minaur,0.0
Thiago Seyboth Wild,Alexander Bublik,0.37037767469882965
Thiago Seyboth Wild,BYE,1.0
Thiago Seyboth Wild,Fabio Fognini,0.4019143581390381
Thiago Seyboth Wild,Abedallah Shelbayh,0.5908238142728806
Thiago Seyboth Wild,Hugo Gaston,0.44964709877967834
Thiago Seyboth Wild,Marcos Giron,0.370138943195343
Thiago Seyboth Wild,Lorenzo Sonego,0.3998464196920395
Thiago Seyboth Wild,Ugo Humbert,0.21175521612167358
Thiago Seyboth Wild,Matteo Martineau,0.4807705581188202
Thiago Seyboth Wild,Dominic Thiem,0.21730899810791016
Thiago Seyboth Wild,Harold Mayo,0.4807705581188202
Thiago Seyboth Wild,Yosuke Watanuki,0.5593749582767487
Thiago Seyboth Wild,Gregoire Barrere,0.4561503380537033
Thiago Seyboth Wild,Yannick Hanfmann,0.45565932989120483
Thiago Seyboth Wild,Daniel Altmaier,0.46323177218437195
Thiago Seyboth Wild,Mate Valkusz,0.4807705581188202
Thiago Seyboth Wild,Alexander Shevchenko,0.5232107788324356
Thiago Seyboth Wild,Mathias Bourgue,0.5438342392444611
Thiago Seyboth Wild,Constant Lestienne,0.47535721957683563
Thiago Seyboth Wild,Calvin Hemery,0.4807705581188202
Thiago Seyboth Wild,Karen Khachanov,0.12586048245429993
Thiago Seyboth Wild,Stan Wawrinka,0.22415770590305328
Thiago Seyboth Wild,Bernabe Zapata Miralles,0.5508801341056824
Thiago Seyboth Wild,Luca Van Assche,0.5956005603075027
Thiago Seyboth Wild,Botic Van De Zandschulp,0.2655198574066162
Thiago Seyboth Wild,Pierre Hugues Herbert,0.32595348358154297
Thiago Seyboth Wild,Arthur Cazaux,0.5917368233203888
Thiago Seyboth Wild,Alex De Minaur,0.1395331621170044
Fabio Fognini,Alexander Bublik,0.48423512279987335
Fabio Fognini,BYE,1.0
Fabio Fognini,Thiago Seyboth Wild,0.5980856418609619
Fabio Fognini,Abedallah Shelbayh,0.6631147712469101
Fabio Fognini,Hugo Gaston,0.5249463468790054
Fabio Fognini,Marcos Giron,0.4857678860425949
Fabio Fognini,Lorenzo Sonego,0.49295951426029205
Fabio Fognini,Ugo Humbert,0.35271281003952026
Fabio Fognini,Matteo Martineau,0.5438008308410645
Fabio Fognini,Dominic Thiem,0.35568277537822723
Fabio Fognini,Harold Mayo,0.5438008308410645
Fabio Fognini,Yosuke Watanuki,0.6326069831848145
Fabio Fognini,Gregoire Barrere,0.5234889686107635
Fabio Fognini,Yannick Hanfmann,0.5400493144989014
