index,player,surface
1,Alexander Bublik,hard
2,BYE,hard
3,Thiago Seyboth Wild,hard
4,Fabio Fognini,hard
5,Abedallah Shelbayh,hard
6,Hugo Gaston,hard
7,Marcos Giron,hard
8,Lorenzo Sonego,hard
9,Ugo Humbert,hard
10,BYE,hard
11,Matteo Martineau,hard
12,Dominic Thiem,hard
13,Harold Mayo,hard
14,Yosuke Watanuki,hard
15,Gregoire Barrere,hard
16,Yannick Hanfmann,hard
17,Daniel Altmaier,hard
18,Mate Valkusz,hard
19,Alexander Shevchenko,hard
20,Mathias Bourgue,hard
21,Constant Lestienne,hard
22,Calvin Hemery,hard
23,BYE,hard
24,Karen Khachanov,hard
25,Stan Wawrinka,hard
26,Bernabe Zapata Miralles,hard
27,Luca Van Assche,hard
28,Botic Van De Zandschulp,hard
29,Pierre Hugues Herbert,hard
30,Arthur Cazaux,hard
31,BYE,hard
32,Alex De Minaur,hard
