index,player,surface
1,Carlos Alcaraz,hard
2,BYE,hard
3,Nuno Borges,hard
4,Gregoire Barrere,hard
5,Mikhail Kukushkin,hard
6,Alexandre Muller,hard
7,BYE,hard
8,Daniel Evans,hard
9,Grigor Dimitrov,hard
10,BYE,hard
11,Aleksandar Vukic,hard
12,Roberto Carballes Baena,hard
13,Beibit Zhukayev,hard
14,Stefano Napolitano,hard
15,Karen Khachanov,hard
16,BYE,hard
17,Frances Tiafoe,hard
18,BYE,hard
19,Philip Sekulic,hard
20,Lorenzo Sonego,hard
21,Jordan Thompson,hard
22,Terence Atmane,hard
23,BYE,hard
24,Nicolas Jarry,hard
25,Jiri Lehecka,hard
26,BYE,hard
27,Diego Schwartzman,hard
28,Luca Van Assche,hard
29,Yosuke Watanuki,hard
30,Juncheng Shang,hard
31,BYE,hard
32,Taylor Fritz,hard
33,Stefanos Tsitsipas,hard
34,BYE,hard
35,Rinky Hijikata,hard
36,Laslo Djere,hard
37,Botic Van De Zandschulp,hard
38,Christopher Oconnell,hard
39,BYE,hard
40,Ugo Humbert,hard
41,Jan Lennard Struff,hard
42,BYE,hard
43,Alexei Popyrin,hard
44,Matteo Arnaldi,hard
45,J J Wolf,hard
46,Pedro Cachin,hard
47,BYE,hard
48,Cameron Norrie,hard
49,Tommy Paul,hard
50,BYE,hard
51,Juan Pablo Varillas,hard
52,Sebastian Ofner,hard
53,Pavel Kotov,hard
54,Arthur Fils,hard
55,BYE,hard
56,Alejandro Davidovich Fokina,hard
57,Adrian Mannarino,hard
58,BYE,hard
59,Alexander Shevchenko,hard
60,Chun-Hsin Tseng,hard
61,Aslan Karatsev,hard
62,Quentin Halys,hard
63,BYE,hard
64,Andrey Rublev,hard
65,Casper Ruud,hard
66,BYE,hard
67,Daniel Altmaier,hard
68,Yoshihito Nishioka,hard
69,James Duckworth,hard
70,Yannick Hanfmann,hard
71,BYE,hard
72,Christopher Eubanks,hard
73,Tallon Griekspoor,hard
74,BYE,hard
75,Dusan Lajovic,hard
76,Stan Wawrinka,hard
77,Arthur Rinderknech,hard
78,Fabian Marozsan,hard
79,BYE,hard
80,Alex De Minaur,hard
81,Hubert Hurkacz,hard
82,BYE,hard
83,Thanasi Kokkinakis,hard
84,Fabio Fognini,hard
85,Max Purcell,hard
86,Yu Hsiou Hsu,hard
87,BYE,hard
88,Lorenzo Musetti,hard
89,Tomas Martin Etcheverry,hard
90,BYE,hard
91,Zhizhen Zhang,hard
92,Richard Gasquet,hard
93,Brandon Nakashima,hard
94,Bernabe Zapata Miralles,hard
95,BYE,hard
96,Holger Rune,hard
97,Jannik Sinner,hard
98,BYE,hard
99,Marcos Giron,hard
100,Daniel Elahi Galan,hard
101,Dane Sweeny,hard
102,Taro Daniel,hard
103,BYE,hard
104,Sebastian Baez,hard
105,BYE,hard
106,Ben Shelton,hard
107,Jaume Munar,hard
108,Rigele Ta,hard
109,Roman Safiullin,hard
110,Andy Murray,hard
111,BYE,hard
112,Alexander Zverev,hard
113,Felix Auger Aliassime,hard
114,BYE,hard
115,Denis Yevseyev,hard
116,Marton Fucsovics,hard
117,Corentin Moutet,hard
118,Mackenzie Mcdonald,hard
119,BYE,hard
120,Francisco Cerundolo,hard
121,Sebastian Korda,hard
122,BYE,hard
123,Miomir Kecmanovic,hard
124,Yunchaokete Bu,hard
125,Aleksandar Kovacevic,hard
126,Cristian Garin,hard
127,BYE,hard
128,Daniil Medvedev,hard
